Player,Team,Age,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Tim Hardaway Jr.,DAL,30,42,24,18,29.6,42.6,57.4,35.8,16.4,51.2,14.0,13.0,9.7,19.4,66.4,33.6,80.4,19.6,73.2,26.8
Timothe Luwawu-Cabarrot,ATL,26,52,30,22,13.2,34.4,65.6,26.4,1.8,58.1,12.3,15.5,18.9,24.7,70.0,30.0,97.7,2.3,86.5,13.5
Tobias Harris,PHI,29,73,45,28,34.8,73.1,26.9,62.4,8.1,24.1,10.5,13.5,11.7,54.3,44.4,55.6,89.1,10.9,53.5,46.5
Tomas Satoransky,WAS,30,55,21,34,16.5,72.3,27.7,61.6,12.1,16.7,9.1,21.7,13.1,49.5,44.3,55.7,100,0.0,52.8,47.2
Tony Bradley,CHI,24,55,28,27,10.0,100,0.0,88.3,7.4,0.0,8.0,11.7,16.0,81.0,75.0,25.0,0.0,0.0,75.0,25.0
Tony Snell,NOP,30,53,19,34,15.5,25.1,74.9,25.7,4.3,72.2,5.3,2.1,15.0,21.4,75.0,25.0,95.6,4.4,88.4,11.6
Torrey Craig,PHX,31,78,36,42,20.5,46.9,53.1,47.7,3.9,44.8,21.3,7.5,16.1,43.8,58.5,41.5,96.1,3.9,73.0,27.0
Trae Young,ATL,23,76,40,36,34.9,60.5,39.5,44.4,13.0,32.4,7.7,23.2,14.0,31.4,14.2,85.8,22.3,77.7,16.9,83.1
Tre Jones,SAS,22,69,32,37,16.6,85.0,15.0,75.5,10.2,7.3,16.2,17.2,18.4,65.4,45.5,54.5,80.0,20.0,47.6,52.4
Tre Mann,OKC,21,60,17,43,22.8,53.7,46.3,42.6,8.0,47.0,5.3,10.4,15.7,34.6,28.6,71.4,66.3,33.7,44.6,55.4
Trendon Watford,POR,21,48,16,32,18.1,85.8,14.2,73.1,1.6,7.4,21.4,19.5,15.4,71.4,57.9,42.1,88.9,11.1,59.9,40.1
Trent Forrest,UTA,23,60,36,24,12.8,82.6,17.4,72.8,5.1,7.7,6.2,19.5,12.8,67.7,22.5,77.5,100,0.0,27.6,72.4
Trey Burke,DAL,29,42,24,18,10.5,61.9,38.1,54.2,22.4,36.4,12.6,9.4,16.8,31.8,25.9,74.1,84.6,15.4,44.0,56.0
Trey Lyles,SAC,26,75,19,56,20.5,62.8,37.2,49.6,3.8,25.6,6.6,24.8,15.0,45.8,60.0,40.0,100,0.0,70.2,29.8
Trey Murphy III,NOP,21,62,31,31,13.9,32.9,67.1,22.8,1.2,63.8,17.1,13.4,18.3,21.6,57.9,42.1,97.2,2.8,83.5,16.5
Tristan Thompson,CHI,31,57,20,37,15.7,98.9,1.1,81.4,1.2,0.9,6.1,17.7,9.0,80.2,65.7,34.3,100,0.0,66.0,34.0
Troy Brown Jr.,CHI,22,66,37,29,16.0,48.4,51.6,43.1,4.2,49.8,13.4,7.1,13.1,38.9,67.2,32.8,95.7,4.3,79.6,20.4
Ty Jerome,OKC,24,48,15,33,16.7,43.3,56.7,41.2,4.1,47.6,10.0,11.2,12.9,37.1,30.0,70.0,79.6,20.4,51.6,48.4
Tyler Herro,MIA,22,66,44,22,32.6,60.9,39.1,47.7,15.4,38.4,11.1,13.9,16.5,32.3,33.4,66.6,70.9,29.1,46.5,53.5
Tyrese Haliburton,IND,22,77,26,51,35.0,57.2,42.8,45.6,13.5,40.9,15.2,13.5,15.2,32.0,27.9,72.1,58.4,41.6,39.3,60.7
Tyrese Maxey,PHI,21,75,45,30,35.3,68.9,31.1,53.5,10.1,30.2,18.7,16.3,18.8,43.5,45.0,55.0,71.2,28.8,52.2,47.8
Tyus Jones,MEM,25,73,51,22,21.2,62.9,37.1,53.5,10.4,38.0,14.4,8.5,14.9,43.0,36.7,63.3,83.8,16.2,51.8,48.2
Wayne Ellington,LAL,34,43,15,28,18.8,11.0,89.0,11.1,1.4,85.7,11.1,3.2,13.2,9.8,87.5,12.5,95.1,4.9,93.9,6.1
Wendell Carter Jr.,ORL,22,62,16,46,29.9,68.7,31.3,62.1,8.2,22.6,5.6,15.3,12.6,53.9,60.9,39.1,100,0.0,68.5,31.5
Wesley Matthews,MIL,35,49,33,16,20.5,28.6,71.4,27.3,0.0,63.9,14.5,8.8,9.6,27.3,64.7,35.3,98.1,1.9,85.1,14.9
Will Barton,DEN,31,71,41,30,32.1,52.0,48.0,45.1,7.5,45.2,18.0,9.7,12.1,37.6,49.8,50.2,77.1,22.9,60.7,39.3
Willy Hernangomez,NOP,27,50,22,28,16.8,96.3,3.7,73.3,0.9,2.6,6.4,24.1,15.5,72.4,68.7,31.3,100,0.0,69.4,30.6
Xavier Tillman,MEM,23,53,35,18,13.2,77.3,22.7,69.8,3.2,11.9,17.5,18.3,20.2,66.7,67.0,33.0,90.0,10.0,69.4,30.6
Zach LaVine,CHI,27,67,37,30,34.7,59.9,40.1,46.5,12.4,33.9,12.5,19.6,17.2,34.1,35.0,65.0,56.8,43.2,42.1,57.9
Zeke Nnaji,DEN,21,41,24,17,17.0,57.0,43.0,43.7,3.0,41.1,9.3,15.2,19.3,40.7,57.6,42.4,94.6,5.4,71.9,28.1
Ziaire Williams,MEM,20,62,41,21,21.7,42.9,57.1,45.9,9.6,45.5,27.1,8.6,18.4,36.3,80.0,20.0,96.1,3.9,86.4,13.6
