Player, %AST, %OREB, %DREB, %STL, %BLK, FREQ_6, Diff%_6, FREQ_15, Diff%_15, Freq_Handoff_Off, eFG%_Handoff_Off, Freq_Iso_Def, eFG%_Iso_Def, Freq_Iso_Off, eFG%_Iso_Off, Freq_OffScreen_Off, eFG%_OffScreen_Off, Freq_P&R_Handler_Off, eFG%_P&R_Handler_Off, Freq_P&R_Man_Off, eFG%_P&R_Man_Off, Freq_Postup_Off, eFG%_Postup_Off, Freq_Putbacks_Off, eFG%_Putbacks_Off, Freq_Spotup_Off, eFG%_Spotup_Off, Freq_Tight, eFG%_Tight, Freq_Open, eFG%_Open, FGA_Catch_And_Shoot, EFG%_Catch_And_Shoot, FGA_Pull_Up, EFG%_Pull_Up, DRIVES_Drives, FG%_Drives
Naji Marshall, 56, 58, 61, 77, 46, 39, 51, 77, 79, 50, 98, 52, 70, 57, 94, 6, 9, 66, 66, 20, 19, 35, 34, 69, 31, 72, 14, 48, 39, 41, 32, 32, 7, 36, 48, 45, 65
Nassir Little, 23, 67, 69, 21, 78, 50, 75, 56, 47, 81, 44, 78, 82, 56, 51, 69, 99, 52, 98, 26, 19, 27, 34, 62, 61, 82, 57, 32, 66, 58, 29, 64, 38, 49, 72, 54, 82
Naz Reid, 28, 84, 77, 38, 91, 97, 95, 8, 2, 1, 15, 84, 19, 25, 25, 6, 8, 6, 9, 94, 76, 89, 75, 86, 72, 40, 42, 79, 71, 7, 48, 42, 48, 9, 8, 30, 90
Nemanja Bjelica, 76, 75, 84, 56, 71, 86, 47, 19, 52, 1, 15, 86, 49, 52, 84, 73, 71, 5, 8, 81, 79, 82, 70, 82, 58, 60, 37, 67, 43, 16, 24, 35, 58, 19, 43, 41, 15
Nic Claxton, 13, 93, 74, 30, 87, 24, 96, 86, 66, 1, 14, 99, 47, 25, 25, 12, 8, 5, 8, 95, 76, 27, 35, 93, 81, 5, 9, 96, 94, 7, 96, 3, 39, 4, 99, 14, 74
Nick Richards, 3, 86, 60, 20, 95, 92, 90, 31, 0, 0, 14, 1, 91, 26, 26, 11, 7, 9, 7, 23, 20, 22, 35, 21, 11, 5, 8, 99, 98, 3, 98, 4, 100, 12, 99, 4, 1
Nickeil Alexander-Walker, 66, 32, 30, 56, 54, 43, 4, 64, 17, 94, 60, 47, 55, 56, 45, 84, 61, 82, 61, 22, 20, 19, 35, 44, 27, 54, 32, 1, 2, 0, 1, 1, 4, 3, 0, 1, 0
Nicolas Batum, 45, 30, 67, 79, 76, 99, 71, 10, 63, 72, 58, 76, 64, 26, 26, 73, 52, 37, 52, 73, 83, 19, 36, 0, 9, 95, 97, 25, 43, 50, 53, 87, 84, 41, 54, 13, 95
Nikola Jokic, 93, 91, 99, 94, 85, 73, 61, 5, 43, 5, 13, 35, 32, 64, 90, 81, 92, 42, 99, 86, 72, 99, 97, 81, 73, 23, 70, 88, 90, 35, 83, 80, 50, 54, 80, 64, 97
Nikola Vucevic, 60, 82, 97, 58, 86, 87, 49, 9, 80, 36, 42, 42, 23, 43, 97, 52, 73, 20, 7, 99, 64, 97, 81, 72, 88, 30, 33, 47, 75, 33, 16, 100, 25, 44, 49, 40, 54
