Player, %AST, %OREB, %DREB, %STL, %BLK, FREQ_6, Diff%_6, FREQ_15, Diff%_15, Freq_Handoff_Off, eFG%_Handoff_Off, Freq_Iso_Def, eFG%_Iso_Def, Freq_Iso_Off, eFG%_Iso_Off, Freq_OffScreen_Off, eFG%_OffScreen_Off, Freq_P&R_Handler_Off, eFG%_P&R_Handler_Off, Freq_P&R_Man_Off, eFG%_P&R_Man_Off, Freq_Postup_Off, eFG%_Postup_Off, Freq_Putbacks_Off, eFG%_Putbacks_Off, Freq_Spotup_Off, eFG%_Spotup_Off, Freq_Tight, eFG%_Tight, Freq_Open, eFG%_Open, FGA_Catch_And_Shoot, EFG%_Catch_And_Shoot, FGA_Pull_Up, EFG%_Pull_Up, DRIVES_Drives, FG%_Drives
Tony Bradley, 23, 95, 88, 8, 94, 85, 100, 7, 92, 27, 28, 13, 86, 19, 19, 27, 26, 25, 26, 96, 56, 6, 29, 94, 53, 11, 0, 95, 78, 13, 97, 8, 78, 6, 84, 5, 5
Tony Snell, 5, 23, 35, 7, 40, 21, 13, 78, 86, 26, 29, 1, 99, 19, 19, 26, 26, 25, 26, 30, 11, 5, 7, 3, 23, 12, 3, 7, 13, 86, 49, 47, 54, 23, 62, 19, 9
Torrey Craig, 28, 68, 58, 64, 57, 51, 58, 51, 80, 50, 48, 81, 30, 20, 20, 28, 25, 52, 40, 29, 11, 1, 5, 82, 83, 82, 33, 18, 73, 93, 43, 56, 37, 39, 29, 32, 47
Trae Young, 99, 22, 13, 45, 3, 15, 11, 76, 35, 52, 74, 17, 71, 96, 79, 52, 100, 99, 85, 28, 9, 1, 1, 30, 73, 19, 98, 42, 44, 68, 58, 19, 98, 99, 89, 99, 61
Tre Jones, 91, 38, 33, 75, 16, 65, 38, 38, 66, 56, 91, 29, 2, 72, 84, 32, 31, 87, 80, 36, 9, 0, 1, 44, 70, 41, 32, 82, 47, 30, 55, 11, 10, 54, 69, 72, 74
Tre Mann, 50, 18, 31, 70, 17, 68, 45, 57, 56, 54, 45, 14, 75, 76, 55, 75, 81, 95, 65, 37, 8, 13, 17, 38, 64, 48, 58, 32, 8, 49, 9, 43, 72, 83, 75, 80, 28
Trendon Watford, 64, 77, 75, 43, 83, 91, 29, 21, 13, 25, 30, 99, 4, 60, 98, 32, 36, 26, 26, 79, 53, 83, 96, 83, 93, 29, 17, 87, 62, 42, 88, 20, 11, 36, 17, 40, 86
Trent Forrest, 87, 44, 16, 85, 19, 30, 31, 75, 93, 24, 30, 34, 69, 81, 86, 37, 36, 97, 89, 34, 29, 16, 16, 6, 24, 41, 16, 90, 64, 15, 95, 10, 7, 20, 50, 70, 78
Trey Burke, 80, 7, 3, 38, 0, 3, 44, 3, 67, 59, 39, 74, 13, 91, 53, 37, 36, 92, 48, 33, 42, 15, 16, 6, 24, 52, 73, 36, 59, 90, 3, 24, 42, 68, 33, 52, 49
Trey Lyles, 29, 80, 87, 10, 67, 94, 33, 15, 67, 48, 97, 92, 41, 53, 46, 36, 36, 37, 99, 93, 69, 85, 99, 80, 63, 46, 25, 52, 72, 34, 22, 54, 42, 41, 19, 59, 76
Trey Murphy III, 13, 61, 45, 27, 28, 45, 32, 64, 68, 78, 38, 66, 88, 20, 20, 86, 66, 44, 35, 48, 40, 13, 17, 76, 77, 90, 62, 7, 10, 38, 21, 58, 76, 25, 13, 24, 4
Tristan Thompson, 13, 98, 86, 35, 81, 67, 65, 11, 10, 31, 29, 6, 90, 20, 20, 36, 35, 26, 27, 33, 44, 12, 13, 24, 23, 10, 11, 99, 53, 5, 83, 5, 10, 13, 34, 19, 21
Troy Brown Jr., 38, 62, 66, 81, 9, 53, 19, 32, 9, 34, 26, 46, 5, 21, 21, 36, 35, 56, 44, 34, 35, 11, 12, 65, 84, 94, 46, 35, 24, 68, 27, 37, 60, 26, 25, 29, 8
Ty Jerome, 85, 32, 5, 71, 11, 16, 13, 59, 77, 46, 41, 44, 85, 54, 85, 84, 60, 87, 75, 36, 37, 57, 12, 16, 17, 71, 22, 19, 13, 67, 8, 59, 24, 64, 49, 75, 55
Tyler Herro, 75, 13, 58, 13, 5, 44, 46, 46, 11, 93, 80, 88, 8, 85, 56, 82, 67, 89, 67, 36, 36, 61, 41, 29, 97, 28, 98, 71, 34, 73, 45, 72, 91, 96, 71, 93, 40
Tyrese Haliburton, 98, 27, 24, 94, 54, 75, 3, 40, 41, 70, 53, 20, 3, 80, 96, 56, 95, 98, 71, 32, 36, 57, 64, 33, 98, 32, 93, 45, 35, 49, 84, 37, 94, 91, 89, 94, 41
Tyrese Maxey, 76, 6, 9, 12, 33, 14, 55, 71, 38, 68, 60, 20, 31, 61, 93, 52, 90, 93, 83, 30, 36, 40, 60, 17, 18, 50, 74, 65, 56, 46, 58, 46, 98, 88, 75, 85, 65
Tyus Jones, 93, 1, 26, 59, 1, 31, 31, 78, 45, 86, 72, 31, 52, 68, 73, 35, 34, 93, 61, 44, 32, 48, 57, 18, 20, 45, 81, 72, 52, 54, 11, 48, 84, 77, 58, 73, 44
Wayne Ellington, 6, 12, 9, 42, 9, 17, 24, 73, 45, 96, 77, 27, 0, 21, 21, 96, 56, 27, 27, 46, 32, 37, 55, 19, 23, 90, 99, 5, 27, 91, 71, 74, 92, 53, 51, 15, 99
Wendell Carter Jr., 60, 86, 95, 12, 73, 48, 97, 41, 7, 33, 25, 85, 80, 57, 88, 35, 34, 35, 36, 92, 74, 86, 76, 83, 97, 35, 49, 64, 88, 28, 33, 81, 38, 47, 92, 48, 85
Wesley Matthews, 9, 52, 0, 24, 24, 5, 60, 66, 72, 72, 36, 78, 37, 21, 21, 70, 77, 27, 28, 43, 45, 50, 59, 68, 73, 96, 42, 9, 67, 13, 3, 58, 61, 31, 11, 28, 71
Will Barton, 66, 29, 50, 37, 54, 57, 18, 52, 33, 77, 74, 25, 9, 80, 78, 66, 65, 75, 61, 39, 47, 64, 64, 49, 61, 44, 39, 45, 30, 82, 72, 79, 70, 81, 73, 75, 51
Willy Hernangomez, 43, 96, 94, 10, 82, 83, 35, 12, 4, 31, 34, 30, 13, 21, 21, 34, 33, 28, 28, 91, 85, 95, 69, 97, 35, 9, 8, 99, 49, 5, 91, 9, 20, 17, 21, 7, 30
Xavier Tillman, 56, 81, 60, 88, 57, 94, 80, 21, 7, 34, 33, 91, 57, 22, 22, 33, 32, 28, 29, 87, 75, 77, 84, 88, 57, 31, 15, 82, 63, 18, 64, 14, 9, 30, 42, 12, 17
Zach LaVine, 77, 6, 48, 6, 35, 9, 48, 95, 31, 65, 79, 50, 58, 92, 83, 83, 74, 90, 81, 48, 80, 69, 70, 27, 31, 26, 89, 46, 62, 94, 59, 57, 97, 97, 66, 89, 68
Zeke Nnaji, 0, 87, 58, 13, 72, 2, 43, 1, 83, 13, 19, 97, 60, 1, 1, 16, 50, 19, 12, 83, 68, 9, 4, 94, 87, 74, 94, 65, 69, 61, 81, 45, 96, 13, 3, 15, 14
Ziaire Williams, 12, 11, 4, 17, 10, 35, 35, 71, 50, 83, 70, 51, 15, 30, 30, 79, 50, 54, 84, 0, 0, 0, 0, 40, 87, 79, 55, 21, 32, 78, 59, 70, 36, 53, 39, 27, 39
